PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 14 dot -8.774760495362625e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 8.485704649591891e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -4.939290299619658e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot 4.394966628469554e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.2068114509216025e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.9562485316863424e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 1.6620428022622513e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.100554563804746e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 1.0950974177870772e-05
# TT-PIVMGS:    ortho max err 2.2757941133232096e-06 , max. rank: 143
# TT-PIVMGS:    ortho 1 pivot 4 dot 2.2757941133232096e-06
# TT-PIVMGS:    ortho max err 1.145218878751417e-06 , max. rank: 143
21 4.462015575448772e-05 2.5016709584784308e-05 139 139 143 101
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.8255646956563223
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.708748118925925
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.0006428931896499818
# TT-PIVMGS:    ortho 0 pivot 18 dot -0.0003651087028655863
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.00018421317550795097
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.00017992490106078082
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00015299674908591382
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.00010912860967469962
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.00010892036191693412
# TT-PIVMGS:    ortho 0 pivot 9 dot 9.50586970560204e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot -9.346363218158162e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 8.581123906040676e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -7.86228278496573e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -6.04150628594573e-05
# TT-PIVMGS:    ortho 0 pivot 16 dot 5.383941652719465e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -5.3160370791398466e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.108327262327633e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 3.492327898988682e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.6004499438278105e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.0647191777251246e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -1.6090242415861544e-05
# TT-PIVMGS:    ortho max err 4.171497916867755e-06 , max. rank: 152
# TT-PIVMGS:    ortho 1 pivot 14 dot 4.171497916867755e-06
# TT-PIVMGS:    ortho max err 9.522690969099301e-11 , max. rank: 152
22 3.4082547996710994e-05 1.9102334125941485e-05 146 146 152 105
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.8255997163477498
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.7042341123344682
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.0006424955405609674
# TT-PIVMGS:    ortho 0 pivot 19 dot -0.00035665013272193763
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.0001856368611265766
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.0001822786180201135
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00014748347811056883
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.00011750727452373641
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.00010842160753309071
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.00010449226177277433
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00010242185004726359
# TT-PIVMGS:    ortho 0 pivot 8 dot -9.132136199898385e-05
# TT-PIVMGS:    ortho 0 pivot 16 dot -8.425463381595e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 7.429710417893465e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 5.9309758150031915e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -4.611836272973985e-05
# TT-PIVMGS:    ortho 0 pivot 17 dot 4.530018579488454e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 4.331008985604488e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 3.98534852021782e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -2.540189457080934e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.9794980371592346e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.681223269461591e-05
# TT-PIVMGS:    ortho max err 5.066442863022914e-06 , max. rank: 157
# TT-PIVMGS:    ortho 1 pivot 15 dot -5.066442863022914e-06
# TT-PIVMGS:    ortho max err 1.0645127834774115e-10 , max. rank: 157
23 2.610634635480361e-05 1.456990319690118e-05 154 154 157 106
# TT-PIVMGS:    ortho 0 pivot 23 dot 0.824569118573059
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.7101342648064041
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.0006527327583003457
# TT-PIVMGS:    ortho 0 pivot 20 dot -0.00037051137755209074
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00019040874762119974
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.0001845580551920827
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00012924840808960225
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.0001237988764884266
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.0001215471934674292
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00011725059178701452
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.00011207589002596233
# TT-PIVMGS:    ortho 0 pivot 7 dot -8.486919589656243e-05
# TT-PIVMGS:    ortho 0 pivot 17 dot -7.716952589597627e-05
