PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 4 dot -1.5315170464923547e-05
# TT-PIVMGS:    ortho max err 1.4837024011153492e-05 , max. rank: 149
# TT-PIVMGS:    ortho 1 pivot 8 dot -1.4837024011153492e-05
# TT-PIVMGS:    ortho 1 pivot 5 dot 1.2173351932783134e-05
# TT-PIVMGS:    ortho 1 pivot 3 dot 1.0354060006844724e-05
# TT-PIVMGS:    ortho 1 pivot 2 dot -8.515331116476857e-06
# TT-PIVMGS:    ortho 1 pivot 1 dot 7.383077109280245e-06
# TT-PIVMGS:    ortho max err 1.1791797642952701e-06 , max. rank: 149
22 1.1912167587847978e-05 1.1912138555663339e-05 141 134 149 93
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.822514101874612
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.7051885199270438
# TT-PIVMGS:    ortho 0 pivot 19 dot -0.0006385444405117603
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.0005398199172798324
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.0004007846859480739
# TT-PIVMGS:    ortho 0 pivot 17 dot -0.00020991127429960052
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.0002016263611561639
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.00015740176996009367
# TT-PIVMGS:    ortho 0 pivot 14 dot 3.726463431466022e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.966765142294915e-05
